lambda,em,pigment
560.847393,0.710284629,Chlorophyll
562.2611652,0.670728132,Chlorophyll
563.6743338,0.334277203,Chlorophyll
565.0875024,-0.002173726,Chlorophyll
566.5011237,-0.115953831,Chlorophyll
567.9149714,-0.118398524,Chlorophyll
569.3288191,-0.120843218,Chlorophyll
570.7426667,-0.123287911,Chlorophyll
572.1565899,-0.0886208,Chlorophyll
573.5706639,0.020269918,Chlorophyll
574.9842098,-0.130621991,Chlorophyll
576.3980575,-0.133066685,Chlorophyll
577.8125088,0.161383053,Chlorophyll
579.2266583,0.307385576,Chlorophyll
580.6412605,0.676058922,Chlorophyll
582.0561645,1.193179483,Chlorophyll
583.4700122,1.19073479,Chlorophyll
584.8831808,0.854283861,Chlorophyll
586.2968021,0.740503756,Chlorophyll
587.7106498,0.738059062,Chlorophyll
589.125252,1.106732408,Chlorophyll
590.5406088,1.846523793,Chlorophyll
591.9549092,2.066749924,Chlorophyll
593.3687569,2.06430523,Chlorophyll
594.7823782,1.950525125,Chlorophyll
596.1955468,1.614074196,Chlorophyll
597.6085645,1.20339966,Chlorophyll
599.0223367,1.163843162,Chlorophyll
600.4361844,1.161398469,Chlorophyll
601.8506357,1.455848207,Chlorophyll
603.264257,1.342068102,Chlorophyll
604.6777274,1.154064389,Chlorophyll
606.0915751,1.151619695,Chlorophyll
607.5067809,1.817187473,Chlorophyll
608.921685,2.334308034,Chlorophyll
610.3358345,2.480310557,Chlorophyll
611.7493049,2.292306843,Chlorophyll
613.1626244,2.030079523,Chlorophyll
614.5776793,2.621423692,Chlorophyll
615.9928852,3.286991469,Chlorophyll
617.4074874,3.655664815,Chlorophyll
618.8222405,4.098561769,Chlorophyll
620.2376727,4.875464958,Chlorophyll
621.6540858,6.134821598,Chlorophyll
623.0713289,7.802408081,Chlorophyll
624.4876665,9.024652917,Chlorophyll
625.9042306,10.35823317,Chlorophyll
627.3228318,12.69383212,Chlorophyll
628.505905,15.08550623,Chlorophyll
629.5719271,17.85592446,Chlorophyll
630.7550229,20.25873211,Chlorophyll
631.9382092,22.70607393,Chlorophyll
633.2402725,25.67277727,Chlorophyll
634.4228552,27.82322465,Chlorophyll
635.4881304,30.22623603,Chlorophyll
636.7897561,32.97769091,Chlorophyll
638.2076028,34.94217183,Chlorophyll
639.6264304,37.38910619,Chlorophyll
641.0453335,39.87315236,Chlorophyll
642.2285575,42.33905008,Chlorophyll
643.293629,44.64185958,Chlorophyll
644.5941379,46.84405976,Chlorophyll
646.0129655,49.29099413,Chlorophyll
647.0782558,51.70142787,Chlorophyll
647.907867,54.09371315,Chlorophyll
648.8557139,56.68990963,Chlorophyll
649.8045039,59.75000366,Chlorophyll
650.7523885,62.36475604,Chlorophyll
651.8189086,65.38011218,Chlorophyll
652.8848176,68.0948627,Chlorophyll
654.0684566,70.76487534,Chlorophyll
655.3688298,72.90027428,Chlorophyll
656.5527405,75.70388941,Chlorophyll
657.8529024,77.7353753,Chlorophyll
659.1545734,80.50909726,Chlorophyll
660.2212746,83.61352173,Chlorophyll
661.169046,86.1726064,Chlorophyll
661.9991099,88.78756251,Chlorophyll
662.8292871,91.45818632,Chlorophyll
663.6588606,93.8319157,Chlorophyll
664.6080958,97.11096937,Chlorophyll
665.5551579,99.32120309,Chlorophyll
666.3860896,102.3629449,Chlorophyll
667.2152104,104.5140035,Chlorophyll
667.6902656,106.3687788,Chlorophyll
668.8177107,110.3749182,Chlorophyll
669.2346101,112.6009134,Chlorophyll
669.8292969,115.3461683,Chlorophyll
670.5410498,117.7201014,Chlorophyll
671.371906,120.7247315,Chlorophyll
672.4381318,123.5953516,Chlorophyll
673.7390332,125.9905331,Chlorophyll
675.152579,125.8396412,Chlorophyll
676.5628049,124.0558299,Chlorophyll
677.8537162,121.5374087,Chlorophyll
679.1439183,118.6701364,Chlorophyll
680.3180125,116.6455059,Chlorophyll
681.3732146,114.0940914,Chlorophyll
682.3101358,111.3164987,Chlorophyll
683.1286176,108.2347929,Chlorophyll
683.7897034,105.0049115,Chlorophyll
684.2549497,102.0351523,Chlorophyll
684.7357998,99.0134094,Chlorophyll
685.5780268,96.02073119,Chlorophyll
686.0422168,92.53140672,Chlorophyll
686.8596045,88.91157977,Chlorophyll
687.6778223,85.69998266,Chlorophyll
688.6144417,82.77394271,Chlorophyll
689.6690779,79.94418973,Chlorophyll
690.8423043,77.49277343,Chlorophyll
692.2514739,75.18939689,Chlorophyll
693.4234931,72.14419173,Chlorophyll
694.5964932,69.58144001,Chlorophyll
695.8870876,66.90714916,Chlorophyll
697.1777575,64.26997011,Chlorophyll
698.5879834,62.48615883,Chlorophyll
699.9991902,61.184801,Chlorophyll
701.4122079,60.77412646,Chlorophyll
702.8258292,60.66034636,Chlorophyll
704.2387714,60.21256002,Chlorophyll
705.6508837,59.35654383,Chlorophyll
707.0611851,57.60984436,Chlorophyll
708.4708828,55.56625045,Chlorophyll
709.8822405,54.33911622,Chlorophyll
711.2959373,54.26244792,Chlorophyll
712.7100868,54.40845045,Chlorophyll
714.1252172,55.03690642,Chlorophyll
715.539593,55.29424435,Chlorophyll
716.9522335,54.6980108,Chlorophyll
718.3640439,53.6935474,Chlorophyll
719.7762316,52.87464302,Chlorophyll
721.1885702,52.12996225,Chlorophyll
722.6015124,51.68217591,Chlorophyll
724.0137001,50.86327153,Chlorophyll
725.4258879,50.04436715,Chlorophyll
726.8377737,49.07701555,Chlorophyll
728.2499614,48.25811117,Chlorophyll
729.6614701,47.10520056,Chlorophyll
731.0713187,45.13583025,Chlorophyll
732.4798846,42.53555929,Chlorophyll
733.889356,40.38062996,Chlorophyll
735.2983747,38.00302982,Chlorophyll
736.7084497,36.14499493,Chlorophyll
738.1189774,34.50963086,Chlorophyll
739.5302597,33.24538484,Chlorophyll
740.9410892,31.75846799,Chlorophyll
742.3515415,30.08599212,Chlorophyll
743.7611638,28.0052864,Chlorophyll
745.1716161,26.33281053,Chlorophyll
746.5828229,25.0314527,Chlorophyll
747.9928979,23.17341781,Chlorophyll
749.4031238,21.38960653,Chlorophyll
750.8130479,19.45734803,Chlorophyll
752.2234247,17.74776036,Chlorophyll
753.6339524,16.11239629,Chlorophyll
755.0450838,14.77392666,Chlorophyll
756.4574978,14.06635769,Chlorophyll
757.8701383,13.47012413,Chlorophyll
759.2829296,12.94811419,Chlorophyll
760.6954191,12.27765702,Chlorophyll
762.105645,10.49384574,Chlorophyll
763.51738,9.452270537,Chlorophyll
764.9303223,9.004484197,Chlorophyll
766.3439436,8.890704092,Chlorophyll
767.7569613,8.480029555,Chlorophyll
769.1695262,7.846684195,Chlorophyll
770.5822421,7.287562443,Chlorophyll
771.9961653,7.322229553,Chlorophyll
773.4107675,7.690902899,Chlorophyll
774.8243133,7.54001099,Chlorophyll
776.2367274,6.832442022,Chlorophyll
777.6496696,6.384655681,Chlorophyll
779.0632155,6.233763772,Chlorophyll
780.4770632,6.231319079,Chlorophyll
781.8916654,6.599992425,Chlorophyll
783.3041549,5.929535261,Chlorophyll
784.717399,5.630196136,Chlorophyll
786.1305676,5.293745207,Chlorophyll
787.5444153,5.291300514,Chlorophyll
788.9581875,5.251744017,Chlorophyll
790.3728652,5.657529166,Chlorophyll
791.7861092,5.358190042,Chlorophyll
793.1995042,5.133074525,Chlorophyll
794.6113901,4.165722929,Chlorophyll
796.023955,3.532377569,Chlorophyll
797.4377273,3.492821072,Chlorophyll
798.8515749,3.490376378,Chlorophyll
800.2664035,3.970385136,Chlorophyll
801.6809303,4.301946678,Chlorophyll
803.094778,4.299501984,Chlorophyll
804.5074938,3.740380232,Chlorophyll
805.9217188,3.923494558,Chlorophyll
807.3355665,3.921049865,Chlorophyll
808.7494141,3.918605172,Chlorophyll
810.1630355,3.804825066,Chlorophyll
811.5758268,3.282815118,Chlorophyll
812.9891463,3.020587797,Chlorophyll
814.4035976,3.315037535,Chlorophyll
815.8173698,3.275481038,Chlorophyll
817.2314439,3.384371756,Chlorophyll
818.6452161,3.344815259,Chlorophyll
820.0578565,2.748581703,Chlorophyll
821.4712515,2.523466186,Chlorophyll
822.8840428,2.001456237,Chlorophyll
824.2972114,1.665005309,Chlorophyll
825.7110591,1.662560615,Chlorophyll
827.1253595,1.882786745,Chlorophyll
828.5396599,2.103012876,Chlorophyll
829.9535076,2.100568182,Chlorophyll
831.3665253,1.689893646,Chlorophyll
832.7793921,1.204995501,Chlorophyll
834.1927116,0.94276818,Chlorophyll
835.6069365,1.125882507,Chlorophyll
837.0218406,1.643003068,Chlorophyll
838.4354619,1.529222963,Chlorophyll
839.8479514,0.858765799,Chlorophyll
841.2615727,0.744985694,Chlorophyll
842.6754204,0.742541,Chlorophyll
844.0894944,0.851431719,Chlorophyll
845.5033421,0.848987025,Chlorophyll
846.5633506,0.661594486,Chlorophyll
852.1007698,0.577795829,Chlorophyll
853.514542,0.538239331,Chlorophyll
854.9285406,0.610018246,Chlorophyll
856.3426147,0.718908964,Chlorophyll
857.756236,0.605128859,Chlorophyll
859.1698573,0.491348754,Chlorophyll
860.1124224,0.489718958,Chlorophyll
861.8770157,-0.84936185,Chlorophyll
865.2938143,-0.855269859,Chlorophyll
866.4720207,-0.857307103,Chlorophyll
